,ensembl_gene_id,hgnc_symbol,entrezgene,chromosome_name,logFC,p.val,q.value
CCDC106|29903,ENSG00000173581,CCDC106,29903,19,0.41,5e-04,0.0085
C15orf27|123591,ENSG00000169758,TMEM266,123591,15,-0.76,5e-04,0.0085
SPRED2|200734,ENSG00000198369,SPRED2,200734,2,-0.33,5e-04,0.0085
PI4KAP1|728233,ENSG00000274602,PI4KAP1,728233,22,-0.38,5e-04,0.0085
RHEB|6009,ENSG00000106615,RHEB,6009,7,0.21,0.00051,0.0086
LOC25845|25845,ENSG00000188242,,25845,5,-0.41,0.00051,0.0086
PCDHGA11|56105,ENSG00000253873,PCDHGA11,56105,5,-0.77,0.00051,0.0087
CREB1|1385,ENSG00000118260,CREB1,1385,2,-0.21,0.00051,0.0087
ZFP3|124961,ENSG00000180787,ZFP3,124961,17,-0.68,0.00052,0.0087
SCN3B|55800,ENSG00000166257,SCN3B,55800,11,-0.73,0.00052,0.0087
AMMECR1L|83607,ENSG00000144233,AMMECR1L,83607,2,-0.2,0.00052,0.0087
LIG1|3978,ENSG00000105486,LIG1,3978,19,-0.32,0.00052,0.0087
C9orf140|89958,ENSG00000186193,SAPCD2,89958,9,-0.72,0.00052,0.0088
SLC23A2|9962,ENSG00000089057,SLC23A2,9962,20,0.49,0.00052,0.0088
PCCB|5096,ENSG00000114054,PCCB,5096,3,0.3,0.00053,0.0088
VSNL1|7447,ENSG00000163032,VSNL1,7447,2,0.98,0.00053,0.0088
NDUFB9|4715,ENSG00000147684,NDUFB9,4715,8,0.38,0.00053,0.0088
C2CD3|26005,ENSG00000168014,C2CD3,26005,11,-0.26,0.00053,0.0088
FRAS1|80144,ENSG00000138759,FRAS1,80144,4,-1.3,0.00053,0.0088
ZNF230|7773,ENSG00000159882,ZNF230,7773,19,-0.32,0.00054,0.009
ZNF557|79230,ENSG00000130544,ZNF557,79230,19,-0.21,0.00054,0.009
C17orf101|79701,ENSG00000181396,OGFOD3,79701,17,0.27,0.00054,0.009
POLB|5423,ENSG00000070501,POLB,5423,8,0.39,0.00054,0.009
KANK2|25959,ENSG00000197256,KANK2,25959,19,-0.35,0.00055,0.0091
ZNF506|440515,ENSG00000081665,ZNF506,440515,19,-0.54,0.00055,0.0091
SDK1|221935,ENSG00000146555,SDK1,221935,7,-1.1,0.00055,0.0091
C20orf111|51526,ENSG00000132823,OSER1,51526,20,0.2,0.00055,0.0091
CYS1|192668,ENSG00000205795,CYS1,192668,2,-1.1,0.00056,0.0092
COX6C|1345,ENSG00000164919,COX6C,1345,8,0.41,0.00056,0.0092
BET1L|51272,ENSG00000177951,BET1L,51272,11,-0.17,0.00056,0.0092
RBM39|9584,ENSG00000131051,RBM39,9584,20,-0.17,0.00056,0.0092
ZNF605|100289635,ENSG00000196458,ZNF605,100289635,12,-0.28,0.00056,0.0092
NSMCE1|197370,ENSG00000169189,NSMCE1,197370,16,0.3,0.00056,0.0092
SLC22A11|55867,ENSG00000168065,SLC22A11,55867,11,1.5,0.00056,0.0092
HHIPL2|79802,ENSG00000143512,HHIPL2,79802,1,1.2,0.00056,0.0092
TGFBR3|7049,ENSG00000069702,TGFBR3,7049,1,0.53,0.00056,0.0092
MAP1D|254042,ENSG00000172878,METAP1D,254042,2,0.4,0.00057,0.0092
GPATCH2|55105,ENSG00000092978,GPATCH2,55105,1,-0.27,0.00057,0.0092
NAA20|51126,ENSG00000173418,NAA20,51126,20,0.25,0.00057,0.0093
NINJ2|4815,ENSG00000171840,NINJ2,4815,12,0.64,0.00057,0.0093
HABP4|22927,ENSG00000130956,HABP4,22927,9,0.38,0.00057,0.0093
DNA2|1763,ENSG00000138346,DNA2,1763,10,-0.45,0.00057,0.0093
MIOX|55586,ENSG00000100253,MIOX,55586,22,-1.1,0.00057,0.0093
ZNF583|147949,ENSG00000198440,ZNF583,147949,19,-0.42,0.00057,0.0093
CA9|768,ENSG00000107159,CA9,768,9,-1.7,0.00057,0.0093
ZNF611|81856,ENSG00000213020,ZNF611,81856,19,-0.71,0.00058,0.0093
EIF3H|8667,ENSG00000147677,EIF3H,8667,8,0.3,0.00058,0.0094
MLL|4297,ENSG00000118058,KMT2A,4297,11,-0.28,0.00058,0.0094
GAB1|2549,ENSG00000109458,GAB1,2549,4,-0.31,0.00059,0.0095
ATF5|22809,ENSG00000169136,ATF5,22809,19,-0.9,0.00059,0.0096
SLC38A2|54407,ENSG00000134294,SLC38A2,54407,12,0.41,0.00059,0.0096
SRCAP|10847,ENSG00000080603,SRCAP,10847,16,-0.23,6e-04,0.0096
WDR44|54521,ENSG00000131725,WDR44,54521,X,0.39,6e-04,0.0096
PSMD3|5709,ENSG00000108344,PSMD3,5709,17,0.19,6e-04,0.0096
PRH1|5554,ENSG00000231887,PRH1,5554,12,-0.39,6e-04,0.0096
MOCOS|55034,ENSG00000075643,MOCOS,55034,18,0.47,6e-04,0.0096
ZNF195|7748,ENSG00000005801,ZNF195,7748,11,-0.28,6e-04,0.0096
ZNF649|65251,ENSG00000198093,ZNF649,65251,19,-0.51,6e-04,0.0096
IGSF9|57549,ENSG00000085552,IGSF9,57549,1,-1.2,0.00061,0.0097
C1orf126|200197,ENSG00000175147,TMEM51-AS1,200197,1,-0.91,0.00061,0.0097
SORD|6652,ENSG00000140263,SORD,6652,15,0.57,0.00061,0.0097
SMARCA4|6597,ENSG00000127616,SMARCA4,6597,19,-0.25,0.00061,0.0097
AGAP7|653268,NA,NA,NA,NA,-0.41,0.00061,0.0098
GFPT1|2673,ENSG00000198380,GFPT1,2673,2,-0.27,0.00061,0.0098
PREPL|9581,ENSG00000138078,PREPL,9581,2,-0.24,0.00061,0.0098
VEGFA|7422,ENSG00000112715,VEGFA,7422,6,-0.32,0.00062,0.0098
TERF1|7013,ENSG00000147601,TERF1,7013,8,0.24,0.00062,0.0098
PCDHB10|56126,ENSG00000120324,PCDHB10,56126,5,-0.69,0.00062,0.0098
PSMC3|5702,ENSG00000165916,PSMC3,5702,11,0.21,0.00062,0.0098
ELFN2|114794,ENSG00000243902,,114794,22,-1.3,0.00062,0.0098
ELL2|22936,ENSG00000118985,ELL2,22936,5,0.4,0.00063,0.0099
CHD6|84181,ENSG00000124177,CHD6,84181,20,-0.32,0.00063,0.0099
